time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,occupational_specialism,sex,grade,count,percent,cumulative_count,cumulative_percent
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Female,Unclassified,12,1.6,743,100
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Male,Number of students,26,z,z,z
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Male,Distinction,4,15.4,4,15.4
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Male,Merit,13,50,17,65.4
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Male,Pass,9,34.6,26,100
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Male,Unclassified,0,0,26,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Adult Nursing Team,Female,Number of students,550,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Adult Nursing Team,Female,Distinction,138,25.1,138,25.1
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Adult Nursing Team,Female,Merit,373,67.8,511,92.9
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Adult Nursing Team,Female,Pass,38,6.9,549,99.8
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Adult Nursing Team,Female,Unclassified,1,0.2,550,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Adult Nursing Team,Male,Number of students,50,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Adult Nursing Team,Male,Distinction,7,14,7,14
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Adult Nursing Team,Male,Merit,34,68,41,82
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Adult Nursing Team,Male,Pass,9,18,50,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Adult Nursing Team,Male,Unclassified,0,0,50,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Care of Children and Young People,Female,Number of students,5,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Care of Children and Young People,Female,Distinction,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Care of Children and Young People,Female,Merit,3,60,3,60
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Care of Children and Young People,Female,Pass,2,40,5,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Care of Children and Young People,Female,Unclassified,0,0,5,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Mental Health Team,Female,Number of students,25,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Mental Health Team,Female,Distinction,8,32,8,32
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Mental Health Team,Female,Merit,10,40,18,72
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Mental Health Team,Female,Pass,7,28,25,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Mental Health Team,Female,Unclassified,0,0,25,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Mental Health Team,Male,Number of students,4,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Mental Health Team,Male,Distinction,1,25,1,25
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Mental Health Team,Male,Merit,3,75,4,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Mental Health Team,Male,Pass,0,0,4,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Mental Health Team,Male,Unclassified,0,0,4,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Midwifery Team,Female,Number of students,60,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Midwifery Team,Female,Distinction,14,23.3,14,23.3
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Midwifery Team,Female,Merit,37,61.7,51,85
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Midwifery Team,Female,Pass,7,11.7,58,96.7
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Midwifery Team,Female,Unclassified,2,3.3,60,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Midwifery Team,Male,Number of students,1,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Midwifery Team,Male,Distinction,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Midwifery Team,Male,Merit,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Midwifery Team,Male,Pass,1,100,1,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Midwifery Team,Male,Unclassified,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Therapy Teams,Female,Number of students,21,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Therapy Teams,Female,Distinction,4,19,4,19
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Therapy Teams,Female,Merit,7,33.3,11,52.4
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Therapy Teams,Female,Pass,10,47.6,21,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Therapy Teams,Female,Unclassified,0,0,21,100
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Therapy Teams,Male,Number of students,7,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Therapy Teams,Male,Distinction,1,14.3,1,14.3
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Therapy Teams,Male,Merit,2,28.6,3,42.9
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Therapy Teams,Male,Pass,3,42.9,6,85.7
202223,Revised,Academic year,National,E92000001,England,Health,Supporting Healthcare - Supporting the Therapy Teams,Male,Unclassified,1,14.3,7,100
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Assisting with Healthcare Science,Female,Number of students,24,z,z,z
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Assisting with Healthcare Science,Female,Distinction,5,20.8,5,20.8
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Assisting with Healthcare Science,Female,Merit,9,37.5,14,58.3
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Assisting with Healthcare Science,Female,Pass,8,33.3,22,91.7
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Assisting with Healthcare Science,Female,Unclassified,2,8.3,24,100
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Assisting with Healthcare Science,Male,Number of students,8,z,z,z
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Assisting with Healthcare Science,Male,Distinction,1,12.5,1,12.5
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Assisting with Healthcare Science,Male,Merit,2,25,3,37.5
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Assisting with Healthcare Science,Male,Pass,2,25,5,62.5
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Assisting with Healthcare Science,Male,Unclassified,3,37.5,8,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Bricklaying,Male,Number of students,8,z,z,z
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Bricklaying,Male,Distinction,4,50,4,50
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Bricklaying,Male,Merit,4,50,8,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Bricklaying,Male,Pass,0,0,8,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Bricklaying,Male,Unclassified,0,0,8,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Carpentry and Joinery,Female,Number of students,1,z,z,z
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Carpentry and Joinery,Female,Distinction,1,100,1,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Carpentry and Joinery,Female,Merit,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Carpentry and Joinery,Female,Pass,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Carpentry and Joinery,Female,Unclassified,0,0,1,100
