time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,grade,count,percent,cumulative_count,cumulative_percent
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Female,Distinction,7,13.7,7,13.7
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Female,Merit,21,41.2,28,54.9
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Female,Pass,19,37.3,47,92.2
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Female,Unclassified,4,7.8,51,100
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Male,Number of students,14,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Male,Distinction,1,7.1,1,7.1
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Male,Merit,9,64.3,10,71.4
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Male,Pass,3,21.4,13,92.9
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Male,Unclassified,1,7.1,14,100
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Female,Number of students,29,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Female,Distinction,10,34.5,10,34.5
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Female,Merit,9,31,19,65.5
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Female,Pass,7,24.1,26,89.7
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Female,Unclassified,3,10.3,29,100
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Male,Number of students,369,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Male,Distinction,67,18.2,67,18.2
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Male,Merit,152,41.2,219,59.3
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Male,Pass,104,28.2,323,87.5
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Male,Unclassified,46,12.5,369,100
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Female,Number of students,362,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Female,Distinction,98,27.1,98,27.1
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Female,Merit,199,55,297,82
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Female,Pass,63,17.4,360,99.4
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Female,Unclassified,2,0.6,362,100
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Male,Number of students,481,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Male,Distinction,79,16.4,79,16.4
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Male,Merit,265,55.1,344,71.5
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Male,Pass,118,24.5,462,96
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Male,Unclassified,19,4,481,100
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,Female,Number of students,5,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,Female,Distinction,4,80,4,80
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,Female,Merit,1,20,5,100
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,Female,Pass,0,0,5,100
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,Female,Unclassified,0,0,5,100
