time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,grade,count,percent,cumulative_count,cumulative_percent
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Unclassified,0,0,65,100
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Number of students,96,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Distinction*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Distinction,20,20.8,20,20.8
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Merit,43,44.8,63,65.6
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Pass,19,19.8,82,85.4
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Partial achievement,13,13.5,95,99
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Unclassified,1,1,96,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Number of students,295,z,z,z
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Distinction*,3,1,3,1
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Distinction,80,27.1,83,28.1
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Merit,123,41.7,206,69.8
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Pass,70,23.7,276,93.6
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Partial achievement,19,6.4,295,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Unclassified,0,0,295,100
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Number of students,619,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Distinction*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Distinction,55,8.9,55,8.9
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Merit,257,41.5,312,50.4
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Pass,229,37,541,87.4
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Partial achievement,73,11.8,614,99.2
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Unclassified,5,0.8,619,100
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Number of students,930,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Distinction*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Distinction,105,11.3,105,11.3
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Merit,337,36.2,442,47.5
